HDI rank,Country,Human Development Index HDI Value 2023,Life expectancy at birth years 2023,Expected years of schooling years 2023,Mean years of schooling years 2023,a 1,Gross national income GNI per capita 2021 PPP 2023,GNI per capita rank minus HDI rank2023,HDI rank2022
108,Marshall Islands,0.733,66.94500000000001,16.38606071,11.6366644,NA,7223.860831000001,23,110
113,Indonesia,0.728,71.146,13.33577728,8.697223199999998,NA,13700.12989,-8,114
114,Suriname,0.722,73.631,10.959099770000002,8.429759582000003,NA,17344.38691,-26,116
115,Libya,0.721,69.339,12.92465677,7.778606430000001,NA,19831.432359999995,-36,106
117,Kyrgyzstan,0.72,71.67699999999999,12.71388245,12.065888580000003,NA,6078.117589,24,118
121,Venezuela (Bolivarian Republic of),0.709,72.514,12.965376540000003,9.678385373,NA,7157.08,11,121
122,Samoa,0.708,71.698,12.436400000000003,11.332983610000001,NA,5952.016925000002,21,123
124,Nauru,0.703,62.109,12.842637630000002,9.448637676,NA,19642.3777,-43,125
125,Bhutan,0.6979999999999998,72.975,13.152741840000003,5.835794661999999,NA,13842.803529999997,-21,126
126,Iraq,0.6949999999999998,72.324,12.359401350000004,6.780046287,NA,12653.52469,-16,126
128,Tajikistan,0.6909999999999998,71.79,10.84980801,11.27094825,NA,5746.568969000001,17,129
129,Tuvalu,0.6889999999999998,67.10499999999999,12.37506862,10.76746107,NA,7005.520781,4,130
133,Equatorial Guinea,0.6739999999999999,63.707,12.49119511,8.281327013999999,NA,12762.46845,-24,132
135,Cabo Verde,0.6679999999999999,76.05899999999998,11.367097170000001,6.090039049999999,NA,8165.379172000001,-7,135
136,Namibia,0.6649999999999999,67.38499999999999,11.78505588,7.273146745000001,NA,10916.60872,-20,137
138,Congo,0.649,65.77199999999999,12.68194711,8.322644792000002,NA,5902.599066000001,6,138
139,Honduras,0.645,72.884,10.162206470000001,7.510229074,NA,6064.785782999999,3,139
140,Kiribati,0.644,66.473,11.87390648,9.128581569,NA,4947.280426,11,140
141,Sao Tome and Principe,0.637,69.718,12.856709900000002,5.987559175,NA,5583.4233349999995,6,141
142,Timor-Leste,0.634,67.68899999999998,13.25306303,6.226580550999998,NA,5434.594692000001,8,142
146,Vanuatu,0.621,71.477,11.81160992,7.183209727,NA,3403.6901930000004,20,145
147,Lao People's Democratic Republic,0.617,68.96400000000001,9.605483055000002,6.06024616,NA,8106.153218,-18,147
148,Angola,0.616,64.617,12.1676,5.956173009,NA,6631.276544,-11,146
149,Micronesia (Federated States of),0.615,67.198,11.54008512,7.33252398,NA,4245.878243,7,147
150,Myanmar,0.609,66.88899999999998,11.50456047,6.3800001140000004,NA,4918.810577,3,149
153,Zimbabwe,0.598,62.775000000000006,11.05745312,8.930847216000002,NA,3511.463215,9,153
154,Zambia,0.595,66.349,11.020528919999999,7.397408542999999,NA,3446.675821,11,154
155,Cameroon,0.588,63.7,10.791879649999998,6.574180411999999,NA,4746.2658200000005,-1,156
156,Solomon Islands,0.584,70.52799999999999,11.313042070000002,5.8796802,NA,2777.2667489999994,18,155
157,Uganda,0.582,68.252,11.56404819,6.323663082000001,NA,2736.410021,18,157
160,Papua New Guinea,0.5760000000000001,66.134,11.511071869999999,4.962531077999998,NA,3970.647707,-2,158
161,Togo,0.571,62.73900000000001,13.096423870000002,5.8611146189999985,NA,2855.963828,9,161
162,Syrian Arab Republic,0.564,72.11999999999999,7.418754526999998,5.935520062,NA,3917.7023849999996,-3,159
163,Mauritania,0.563,68.484,7.949540636,4.852025861999998,NA,6267.470807999999,-23,163
166,Haiti,0.554,64.936,10.896358779999998,5.3822999,NA,2934.925802,3,166
167,Lesotho,0.55,57.375,10.986593520000001,7.729883486,NA,3029.3857,0,167
168,Pakistan,0.544,67.649,7.89510849,4.316987037999998,NA,5501.132932,-19,168
169,Senegal,0.53,68.68299999999999,9.142709732,2.934554012,NA,4202.030729,-12,169
170,Gambia,0.524,65.86,8.977899686,4.674727154,NA,2812.017602,1,170
171,Congo (Democratic Republic of the),0.522,61.895,10.911473860000001,7.378561086,NA,1431.047931,17,172
172,Malawi,0.517,67.35299999999998,9.902591705,5.243740082000001,NA,1633.6926149999997,12,173
175,Djibouti,0.513,65.987,6.2073500159999995,3.9504150299999994,NA,6367.606026000001,-36,176
177,Liberia,0.51,62.16300000000001,10.465853690000001,6.169891954999999,NA,1537.8593899999998,9,177
178,Eritrea,0.503,68.62399999999998,7.336672297,5.09136442,NA,2029.070062,1,178
179,Guinea,0.5,60.74,10.393306260000003,2.486339025,NA,3494.3477230000003,-16,179
180,Ethiopia,0.497,67.31500000000001,9.217651571,2.4025398129999997,NA,2795.5069839999996,-7,181
185,Sierra Leone,0.4670000000000001,61.786,9.064124575000001,3.5352976089999997,NA,1713.7277720000002,-3,185
187,Burundi,0.43900000000000006,63.650999999999996,9.829423879000002,3.4739355560000003,NA,858.9155680999999,5,187
188,Mali,0.41900000000000004,60.439,7.011331532999999,1.6299999949999997,NA,2341.588118,-10,188
188,Niger,0.41900000000000004,61.183,8.308919801,1.4122893409999997,NA,1590.18796,-3,189
190,Chad,0.41600000000000004,55.069,8.347590231000003,2.334984892,NA,1748.000992,-9,189
191,Central African Republic,0.41400000000000003,57.408,7.435767778,3.989431459,NA,1099.8606810000001,-1,NA
193,South Sudan,0.388,57.617000000000004,5.634770140999999,5.730000019,NA,688.3472770999998,0,191
